,0
0,0.0042976574040949345
1,0.0027323151007294655
2,0.0012021912261843681
3,0.010250667110085487
4,0.002020543208345771
5,0.02507021278142929
6,0.006724056322127581
7,0.002866216702386737
8,0.02824878692626953
9,0.004424200393259525
10,0.0035194610245525837
11,0.005334783345460892
12,0.005987420212477446
13,0.001162890112027526
14,0.0140300914645195
15,0.001162890112027526
16,0.00979286152869463
17,0.0011184642789885402
18,0.46377652883529663
19,0.04305875301361084
20,0.0005532269133254886
21,0.0006490251398645341
22,0.0006084704655222595
23,0.0006489933002740145
24,0.000617532292380929
25,0.3464100658893585
26,0.0005624300101771951
27,0.37841796875
28,0.0005105586024001241
29,0.08297597616910934
30,0.006414750590920448
31,0.3612760007381439
32,0.0005978246335871518
33,0.0006323993438854814
34,0.06490394473075867
35,0.36220696568489075
36,0.06352849304676056
37,0.21519674360752106
38,0.02492135390639305
39,0.0005619202274829149
40,0.0005667133373208344
41,0.05039234459400177
42,0.0006244797841645777
43,0.03186485916376114
44,0.14576531946659088
45,0.0009228078415617347
46,0.02053273655474186
47,0.003392529673874378
48,0.0012578928144648671
49,0.22836607694625854
50,0.02286524884402752
51,0.39516720175743103
52,0.02896033599972725
53,0.0008593086386099458
54,0.0005751484422944486
55,0.0014573107473552227
56,0.020093737170100212
57,0.01012679748237133
58,0.0007781723979860544
59,0.004428258165717125
60,0.010892720893025398
61,0.0008832986932247877
62,0.008172373287379742
63,0.025556983426213264
64,0.037449195981025696
65,0.026530476287007332
66,0.06984466314315796
67,0.000622606894467026
68,0.02923675626516342
69,0.001136299455538392
70,0.0005283061764203012
71,0.007364368066191673
72,0.0006986353546380997
73,0.0007287153857760131
74,0.0009981555631384254
75,0.002910902025178075
76,0.0007268193294294178
77,0.004121411591768265
78,0.009218711405992508
79,0.013072852045297623
80,0.0006577137974090874
81,0.000658154662232846
82,0.0005402028327807784
83,0.022540004923939705
84,0.0005840130615979433
85,0.0005304517108015716
86,0.007058265618979931
87,0.015784982591867447
88,0.0005575316026806831
89,0.027567705139517784
90,0.013800674118101597
91,0.0387868657708168
92,0.0009724803967401385
93,0.0005765609093941748
94,0.002003415022045374
95,0.0011376905022189021
96,0.03852719068527222
97,0.0008466524304822087
98,0.024482058361172676
99,0.0007806419744156301
100,0.022331997752189636
101,0.008420395664870739
102,0.0010772075038403273
103,0.001430563279427588
104,0.0005479012615978718
105,0.0011543537257239223
106,0.012717570178210735
107,0.0005311371642164886
108,0.0006583576323464513
109,0.052886947989463806
110,0.0009292570757679641
111,0.05450835078954697
112,0.00513925775885582
113,0.021679632365703583
114,0.001349036581814289
115,0.0007984690018929541
116,0.0006896128179505467
117,0.03261825069785118
118,0.02784707397222519
119,0.01425547618418932
120,0.000543692207429558
121,0.0005189903895370662
122,0.0013102819211781025
123,0.0006916747079230845
124,0.0017863416578620672
125,0.0008518180111423135
126,0.0009570034453645349
127,0.0005808430723845959
128,0.0007588323787786067
129,0.05938513204455376
130,0.16466836631298065
131,0.000621408224105835
132,0.00064832903444767
133,0.0006811409257352352
134,0.0016370269004255533
135,0.0005261928890831769
136,0.0005354675813578069
137,0.0436454676091671
138,0.0008046615985222161
139,0.0005497306119650602
140,0.008617023006081581
141,0.0008922163397073746
142,0.06403087079524994
143,0.0008674344862811267
144,0.002632750663906336
145,0.0054972353391349316
146,0.0007571331225335598
147,0.0013455323642119765
148,0.001116061001084745
149,0.0011399335926398635
150,0.0005209637456573546
151,0.0005186251946724951
152,0.03484911844134331
153,0.0006919607985764742
154,0.0012901084264740348
155,0.0005707591772079468
156,0.0005488223396241665
157,0.0009831415954977274
158,0.0006544860661961138
159,0.001193962641991675
160,0.0005794515600427985
161,0.0011544477893039584
162,0.035089362412691116
163,0.0006112118135206401
164,0.0010670388583093882
165,0.0014627644559368491
166,0.0008085966692306101
167,0.20074738562107086
168,0.02180224470794201
169,0.0006671860464848578
170,0.02952968142926693
171,0.0007499708444811404
172,0.00095726567087695
173,0.0007916526519693434
174,0.0007673553191125393
175,0.0010865259682759643
176,0.0009077590075321496
177,0.00889106560498476
178,0.0005298649775795639
179,0.0008807328995317221
180,0.0022728247568011284
181,0.00063982984283939
182,0.0013641475234180689
183,0.0008290841360576451
184,0.0009181026252917945
